center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,cosine_similarity,kl_divergence,earth_mover_dist
Ses01F_impro01_F000,pad,pad,neu,pad,pad,None,None,0,1.0,0.0,0.0
Ses01F_impro01_F001,Ses01F_impro01_F000,pad,neu,neu,pad,1,None,0,0.7026841640472412,0.16922521591186523,0.5547065958380699
Ses01F_impro01_F002,Ses01F_impro01_F001,pad,neu,neu,pad,1,None,0,0.6971317529678345,0.23490960896015167,0.5947764217853546
Ses01F_impro01_F005,Ses01F_impro01_F002,pad,neu,neu,pad,1,None,0,-0.8468788862228394,1.6778438091278076,0.7401539534330368
Ses01F_impro01_F012,Ses01F_impro01_F005,pad,ang,neu,pad,1,None,1,0.9437046051025391,0.011741994880139828,0.3045516759157181
Ses01F_impro01_M011,pad,Ses01F_impro01_F012,ang,pad,ang,None,1,0,1.0,0.0,0.0
Ses01F_impro01_F014,Ses01F_impro01_F012,Ses01F_impro01_M011,neu,ang,ang,2,1,1,-0.576972246170044,1.32267165184021,0.520007997751236
Ses01F_impro01_M013,Ses01F_impro01_M011,Ses01F_impro01_F014,ang,ang,neu,2,1,0,0.9326785802841187,0.11717867851257324,0.5389327108860016
Ses01F_impro02_F000,pad,pad,sad,pad,pad,None,None,0,1.0,0.0,0.0
Ses01F_impro02_F001,Ses01F_impro02_F000,pad,sad,sad,pad,1,None,0,0.9442495107650757,0.06373395025730133,0.3656377773731947
Ses01F_impro02_M001,pad,Ses01F_impro02_F001,sad,pad,sad,None,1,0,1.0,0.0,0.0
Ses01F_impro02_F002,Ses01F_impro02_F001,Ses01F_impro02_M001,sad,sad,sad,2,1,0,0.9884339570999146,0.019617289304733276,0.2295822650194168
Ses01F_impro02_F003,Ses01F_impro02_F002,Ses01F_impro02_M001,neu,sad,sad,1,2,1,0.9965499639511108,0.0038070157170295715,0.12582483142614365
Ses01F_impro02_F004,Ses01F_impro02_F003,Ses01F_impro02_M001,sad,neu,sad,1,3,1,0.9902111887931824,0.010105498135089874,0.18626106530427933
Ses01F_impro02_F005,Ses01F_impro02_F004,Ses01F_impro02_M001,sad,sad,sad,1,4,0,0.9938644170761108,0.002055646851658821,0.12251436151564121
Ses01F_impro02_F006,Ses01F_impro02_F005,Ses01F_impro02_M001,neu,sad,sad,1,5,1,0.9217261672019958,0.0414707213640213,0.3238101452589035
Ses01F_impro02_M005,Ses01F_impro02_M001,Ses01F_impro02_F006,sad,sad,neu,6,1,0,0.9656676054000854,0.025113627314567566,0.3084641173481941
Ses01F_impro02_F008,Ses01F_impro02_F006,Ses01F_impro02_M005,sad,neu,sad,2,1,1,0.7088961601257324,0.43723076581954956,0.5144986100494862
Ses01F_impro02_F010,Ses01F_impro02_F008,Ses01F_impro02_M005,sad,sad,sad,1,2,0,0.7609090209007263,0.4773932695388794,0.7259068768471479
Ses01F_impro02_M009,Ses01F_impro02_M005,Ses01F_impro02_F010,sad,sad,sad,3,1,0,0.973135232925415,0.024904966354370117,0.3526876699179411
Ses01F_impro02_F012,Ses01F_impro02_F010,Ses01F_impro02_M009,sad,sad,sad,2,1,0,0.9825607538223267,0.030445925891399384,0.2954767048358917
Ses01F_impro02_M010,Ses01F_impro02_M009,Ses01F_impro02_F012,sad,sad,sad,2,1,0,0.9850060343742371,0.002667815424501896,0.18950505927205086
Ses01F_impro02_F013,Ses01F_impro02_F012,Ses01F_impro02_M010,sad,sad,sad,2,1,0,0.9692555665969849,0.03790000081062317,0.34927646815776825
Ses01F_impro02_M011,Ses01F_impro02_M010,Ses01F_impro02_F013,sad,sad,sad,2,1,0,0.9077156186103821,0.09253522753715515,0.36589658819139004
Ses01F_impro02_F014,Ses01F_impro02_F013,Ses01F_impro02_M011,sad,sad,sad,2,1,0,0.9965920448303223,0.013889528810977936,0.3359741363674402
Ses01F_impro02_M012,Ses01F_impro02_M011,Ses01F_impro02_F014,neu,sad,sad,2,1,1,0.9054898023605347,0.1384829580783844,0.40594479627907276
Ses01F_impro02_F015,Ses01F_impro02_F014,Ses01F_impro02_M012,sad,sad,neu,2,1,0,0.9045373201370239,0.5640637278556824,0.8910361658781767
Ses01F_impro02_M013,Ses01F_impro02_M012,Ses01F_impro02_F015,sad,neu,sad,2,1,1,0.8388770818710327,0.2130374163389206,0.7120276857167482
Ses01F_impro02_F016,Ses01F_impro02_F015,Ses01F_impro02_M013,neu,sad,sad,2,1,1,0.886683464050293,0.0558968111872673,0.3383890837430954
Ses01F_impro02_M014,Ses01F_impro02_M013,Ses01F_impro02_F016,sad,sad,neu,2,1,0,0.9747273921966553,0.02180321142077446,0.2797845136374235
Ses01F_impro02_F017,Ses01F_impro02_F016,Ses01F_impro02_M014,sad,neu,sad,2,1,1,0.8223439455032349,0.11554950475692749,0.5993928164243698
Ses01F_impro02_M015,Ses01F_impro02_M014,Ses01F_impro02_F017,neu,sad,sad,2,1,1,0.515625536441803,0.7846795320510864,0.7312582898885012
Ses01F_impro02_F018,Ses01F_impro02_F017,Ses01F_impro02_M015,neu,sad,neu,2,1,1,0.6194860339164734,0.3782467246055603,0.7685146778821945
Ses01F_impro02_F019,Ses01F_impro02_F018,Ses01F_impro02_M015,sad,neu,neu,1,2,1,0.5913255214691162,0.24461987614631653,0.7799937278032303
Ses01F_impro02_F020,Ses01F_impro02_F019,Ses01F_impro02_M015,sad,sad,neu,1,3,0,0.9286469221115112,0.07048569619655609,0.20996563136577606
Ses01F_impro03_M000,pad,pad,neu,pad,pad,None,None,0,1.0,0.0,0.0
Ses01F_impro03_F000,pad,Ses01F_impro03_M000,hap,pad,neu,None,1,0,1.0,0.0,0.0
Ses01F_impro03_M001,Ses01F_impro03_M000,Ses01F_impro03_F000,neu,neu,hap,2,1,0,0.8091971278190613,0.1694277822971344,0.23793582059442997
Ses01F_impro03_F001,Ses01F_impro03_F000,Ses01F_impro03_M001,hap,hap,neu,2,1,0,0.48634910583496094,0.6879633069038391,0.8896045759320259
Ses01F_impro03_F002,Ses01F_impro03_F001,Ses01F_impro03_M001,hap,hap,neu,1,2,0,0.977947473526001,0.021078968420624733,0.3168884217739105
Ses01F_impro03_M003,Ses01F_impro03_M001,Ses01F_impro03_F002,hap,neu,hap,3,1,1,-0.04569287598133087,0.8716617822647095,0.3865342512726784
Ses01F_impro03_F004,Ses01F_impro03_F002,Ses01F_impro03_M003,hap,hap,hap,2,1,0,0.978069543838501,0.009501528926193714,0.29184675961732864
Ses01F_impro03_F005,Ses01F_impro03_F004,Ses01F_impro03_M003,hap,hap,hap,1,2,0,0.9871540069580078,0.0014440137892961502,0.2476484775543213
Ses01F_impro03_F006,Ses01F_impro03_F005,Ses01F_impro03_M003,hap,hap,hap,1,3,0,0.9348249435424805,0.1559455841779709,0.7715457659214735
Ses01F_impro03_M006,Ses01F_impro03_M003,Ses01F_impro03_F006,neu,hap,hap,4,1,1,-0.19752030074596405,1.4113225936889648,0.28047968447208405
Ses01F_impro03_M007,Ses01F_impro03_M006,Ses01F_impro03_F006,hap,neu,hap,1,2,1,0.8818140029907227,0.08962713181972504,0.3313196450471878
Ses01F_impro03_F008,Ses01F_impro03_F006,Ses01F_impro03_M007,hap,hap,hap,3,1,0,0.9707297682762146,0.05471637472510338,0.5160481613129377
Ses01F_impro03_M008,Ses01F_impro03_M007,Ses01F_impro03_F008,neu,hap,hap,2,1,1,0.9046252965927124,0.06668951362371445,0.38684719800949097
Ses01F_impro03_F009,Ses01F_impro03_F008,Ses01F_impro03_M008,hap,hap,neu,2,1,0,0.9943376779556274,0.0023796334862709045,0.1681930273771286
Ses01F_impro03_M009,Ses01F_impro03_M008,Ses01F_impro03_F009,neu,neu,hap,2,1,0,0.7311007976531982,0.5422047972679138,0.41816048324108124
Ses01F_impro03_F010,Ses01F_impro03_F009,Ses01F_impro03_M009,hap,hap,neu,2,1,0,0.052503861486911774,1.0460206270217896,1.2826679423451424
Ses01F_impro03_M011,Ses01F_impro03_M009,Ses01F_impro03_F010,neu,neu,hap,2,1,0,0.545669674873352,0.7759523987770081,0.5418431889265776
Ses01F_impro03_F012,Ses01F_impro03_F010,Ses01F_impro03_M011,hap,hap,neu,2,1,0,0.8601598739624023,0.12791047990322113,0.27997223287820816
Ses01F_impro03_F013,Ses01F_impro03_F012,Ses01F_impro03_M011,hap,hap,neu,1,2,0,-0.34636300802230835,0.9030007719993591,0.6560612842440605
Ses01F_impro03_M013,Ses01F_impro03_M011,Ses01F_impro03_F013,hap,neu,hap,3,1,1,0.6992243528366089,0.2465883046388626,0.4847057592123747
Ses01F_impro03_M014,Ses01F_impro03_M013,Ses01F_impro03_F013,hap,hap,hap,1,2,0,0.8851213455200195,0.22344544529914856,0.7347734495997429
Ses01F_impro03_F015,Ses01F_impro03_F013,Ses01F_impro03_M014,hap,hap,hap,3,1,0,0.9917245507240295,0.007559985853731632,0.1993470937013626
Ses01F_impro03_M015,Ses01F_impro03_M014,Ses01F_impro03_F015,hap,hap,hap,2,1,0,0.5454636812210083,0.21776756644248962,0.6394787281751633
Ses01F_impro03_F016,Ses01F_impro03_F015,Ses01F_impro03_M015,hap,hap,hap,2,1,0,0.9672085046768188,0.022736921906471252,0.25829196721315384
Ses01F_impro03_M016,Ses01F_impro03_M015,Ses01F_impro03_F016,neu,hap,hap,2,1,1,0.8584717512130737,0.08490219712257385,0.4624982997775078
Ses01F_impro03_F017,Ses01F_impro03_F016,Ses01F_impro03_M016,neu,hap,neu,2,1,1,0.8951330780982971,0.09651293605566025,0.3351472467184067
Ses01F_impro03_F018,Ses01F_impro03_F017,Ses01F_impro03_M016,neu,neu,neu,1,2,0,0.9564214944839478,0.10957790911197662,0.3499895930290222
Ses01F_impro03_F019,Ses01F_impro03_F018,Ses01F_impro03_M016,neu,neu,neu,1,3,0,0.8522034883499146,0.0983305275440216,0.38309080712497234
Ses01F_impro03_M019,Ses01F_impro03_M016,Ses01F_impro03_F019,neu,neu,neu,4,1,0,0.7544817328453064,0.2921997308731079,0.7027579694986343
Ses01F_impro03_F021,Ses01F_impro03_F019,Ses01F_impro03_M019,hap,neu,neu,2,1,1,0.4140605926513672,0.17957153916358948,0.3905522543936968
Ses01F_impro03_M020,Ses01F_impro03_M019,Ses01F_impro03_F021,neu,neu,hap,2,1,0,0.5440894961357117,0.23824581503868103,0.3259498495608568
Ses01F_impro03_F022,Ses01F_impro03_F021,Ses01F_impro03_M020,neu,hap,neu,2,1,1,0.6949108839035034,0.23503509163856506,0.5230792704969645
Ses01F_impro03_M021,Ses01F_impro03_M020,Ses01F_impro03_F022,neu,neu,neu,2,1,0,0.6023104786872864,0.14247280359268188,0.1988818123936653
Ses01F_impro03_F023,Ses01F_impro03_F022,Ses01F_impro03_M021,neu,neu,neu,2,1,0,0.8132097125053406,0.25697943568229675,0.5233957394957542
Ses01F_impro03_F024,Ses01F_impro03_F023,Ses01F_impro03_M021,hap,neu,neu,1,2,1,0.456196665763855,0.36564743518829346,0.16180767305195332
Ses01F_impro03_M022,Ses01F_impro03_M021,Ses01F_impro03_F024,hap,neu,hap,3,1,1,-0.051521748304367065,0.4785616397857666,0.3587901648133993
Ses01F_impro03_M023,Ses01F_impro03_M022,Ses01F_impro03_F024,hap,hap,hap,1,2,0,0.4909660220146179,0.1559007316827774,0.21473439037799835
Ses01F_impro03_F025,Ses01F_impro03_F024,Ses01F_impro03_M023,hap,hap,hap,3,1,0,0.35369110107421875,0.5475010275840759,0.6335662100464106
Ses01F_impro03_F026,Ses01F_impro03_F025,Ses01F_impro03_M023,hap,hap,hap,1,2,0,0.9628841876983643,0.030194973573088646,0.26370251178741455
Ses01F_impro03_M024,Ses01F_impro03_M023,Ses01F_impro03_F026,neu,hap,hap,3,1,1,0.7181230783462524,0.09609052538871765,0.552608534693718
Ses01F_impro04_M000,pad,pad,neu,pad,pad,None,None,0,1.0,0.0,0.0
Ses01F_impro04_F000,pad,Ses01F_impro04_M000,neu,pad,neu,None,1,0,1.0,0.0,0.0
Ses01F_impro04_M001,Ses01F_impro04_M000,Ses01F_impro04_F000,neu,neu,neu,2,1,0,0.5780142545700073,0.4421628415584564,0.3302836287766695
Ses01F_impro04_F001,Ses01F_impro04_F000,Ses01F_impro04_M001,neu,neu,neu,2,1,0,0.9855655431747437,0.0059708524495363235,0.20777187310159206
Ses01F_impro04_M002,Ses01F_impro04_M001,Ses01F_impro04_F001,neu,neu,neu,2,1,0,0.5067947506904602,0.4530755877494812,0.6635274142026901
Ses01F_impro04_M003,Ses01F_impro04_M002,Ses01F_impro04_F001,neu,neu,neu,1,2,0,0.88055419921875,0.1763458251953125,0.4931636359542608
Ses01F_impro04_M004,Ses01F_impro04_M003,Ses01F_impro04_F001,neu,neu,neu,1,3,0,0.9780861139297485,0.013811982236802578,0.24391327798366547
Ses01F_impro04_M005,Ses01F_impro04_M004,Ses01F_impro04_F001,neu,neu,neu,1,4,0,0.8147052526473999,0.10361380875110626,0.5027729496359825
Ses01F_impro04_M006,Ses01F_impro04_M005,Ses01F_impro04_F001,neu,neu,neu,1,5,0,0.9719514846801758,0.02382204309105873,0.2755718510597944
Ses01F_impro04_F005,Ses01F_impro04_F001,Ses01F_impro04_M006,neu,neu,neu,6,1,0,-0.05715509504079819,1.0104584693908691,0.8228286951780319
Ses01F_impro04_F006,Ses01F_impro04_F005,Ses01F_impro04_M006,neu,neu,neu,1,2,0,0.025951892137527466,0.3638855814933777,0.3283100873231888
Ses01F_impro04_M007,Ses01F_impro04_M006,Ses01F_impro04_F006,neu,neu,neu,3,1,0,0.690627932548523,0.26445895433425903,0.5691873598843813
Ses01F_impro04_M008,Ses01F_impro04_M007,Ses01F_impro04_F006,neu,neu,neu,1,2,0,0.9731751680374146,0.018151383846998215,0.20956405997276306
Ses01F_impro04_M009,Ses01F_impro04_M008,Ses01F_impro04_F006,neu,neu,neu,1,3,0,0.7755348086357117,0.25266847014427185,0.6097598802298307
Ses01F_impro04_F009,Ses01F_impro04_F006,Ses01F_impro04_M009,neu,neu,neu,4,1,0,0.115846648812294,0.6537016034126282,0.5190619137138128
Ses01F_impro04_M010,Ses01F_impro04_M009,Ses01F_impro04_F009,neu,neu,neu,2,1,0,0.8905110359191895,0.06489364802837372,0.33332081884145737
Ses01F_impro04_M011,Ses01F_impro04_M010,Ses01F_impro04_F009,neu,neu,neu,1,2,0,0.8746923208236694,0.1066896840929985,0.42207593470811844
Ses01F_impro04_M012,Ses01F_impro04_M011,Ses01F_impro04_F009,neu,neu,neu,1,3,0,0.9350898861885071,0.07048127800226212,0.41014654748141766
Ses01F_impro04_M013,Ses01F_impro04_M012,Ses01F_impro04_F009,neu,neu,neu,1,4,0,0.8295021653175354,0.277204692363739,0.5103195980191231
Ses01F_impro04_F013,Ses01F_impro04_F009,Ses01F_impro04_M013,neu,neu,neu,5,1,0,0.18019461631774902,0.6445226073265076,0.30701103061437607
Ses01F_impro04_M014,Ses01F_impro04_M013,Ses01F_impro04_F013,neu,neu,neu,2,1,0,0.648847758769989,0.3333005905151367,0.27865325659513474
