center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,cosine_similarity,kl_divergence,earth_mover_dist
Ses01_angry_01_B_001,pad,pad,Neutral,pad,pad,None,None,0,1.0,0.0,0.0
Ses01_angry_01_A_002,pad,Ses01_angry_01_B_001,Neutral,pad,Neutral,None,1,0,1.0,0.0,0.0
Ses01_angry_01_B_003,Ses01_angry_01_B_001,Ses01_angry_01_A_002,Neutral,Neutral,Neutral,2,1,0,-0.4506491422653198,0.8224007487297058,0.3351965919137001
Ses01_angry_01_A_005,Ses01_angry_01_A_002,Ses01_angry_01_B_003,Neutral,Neutral,Neutral,2,1,0,0.6336159110069275,0.13323259353637695,0.6189880892634392
Ses01_angry_01_A_007,Ses01_angry_01_A_005,Ses01_angry_01_B_003,Neutral,Neutral,Neutral,1,2,0,0.8010787963867188,0.04049773886799812,0.5318984538316727
Ses01_angry_01_A_009,Ses01_angry_01_A_007,Ses01_angry_01_B_003,Neutral,Neutral,Neutral,1,3,0,0.7822654247283936,0.14149832725524902,0.4166916757822037
Ses01_angry_01_A_011,Ses01_angry_01_A_009,Ses01_angry_01_B_003,Anger,Neutral,Neutral,1,4,1,0.6528904438018799,0.23542016744613647,0.6902125831693411
Ses01_angry_01_B_012,Ses01_angry_01_B_003,Ses01_angry_01_A_011,Anger,Neutral,Anger,5,1,1,0.8412081003189087,0.09083858132362366,0.39256148785352707
Ses01_angry_01_A_013,Ses01_angry_01_A_011,Ses01_angry_01_B_012,Anger,Anger,Anger,2,1,0,0.2518545389175415,0.2903796434402466,0.5112949591130018
Ses01_angry_01_A_014,Ses01_angry_01_A_013,Ses01_angry_01_B_012,Anger,Anger,Anger,1,2,0,0.8151295185089111,0.04928865656256676,0.37936215847730637
Ses01_angry_01_B_015,Ses01_angry_01_B_012,Ses01_angry_01_A_014,Anger,Anger,Anger,3,1,0,-0.808544933795929,0.8921341300010681,0.5492418296635151
Ses01_angry_01_B_016,Ses01_angry_01_B_015,Ses01_angry_01_A_014,Neutral,Anger,Anger,1,2,1,0.9869430661201477,0.009299201890826225,0.19729997403919697
Ses01_angry_01_B_017,Ses01_angry_01_B_016,Ses01_angry_01_A_014,Neutral,Neutral,Anger,1,3,0,0.9541272521018982,0.025187227874994278,0.25618154741823673
Ses01_angry_01_B_018,Ses01_angry_01_B_017,Ses01_angry_01_A_014,Neutral,Neutral,Anger,1,4,0,0.8866078853607178,0.04354153573513031,0.2660497948527336
