center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift
Ses01F_impro01_F000,pad,pad,neu,pad,pad,None,None,0
Ses01F_impro01_F001,Ses01F_impro01_F000,pad,neu,neu,pad,1,None,0
Ses01F_impro01_F002,Ses01F_impro01_F001,pad,neu,neu,pad,1,None,0
Ses01F_impro01_F005,Ses01F_impro01_F002,pad,neu,neu,pad,1,None,0
Ses01F_impro01_F012,Ses01F_impro01_F005,pad,ang,neu,pad,1,None,1
Ses01F_impro01_M011,pad,Ses01F_impro01_F012,ang,pad,ang,None,1,0
Ses01F_impro01_F014,Ses01F_impro01_F012,Ses01F_impro01_M011,neu,ang,ang,2,1,1
Ses01F_impro01_M013,Ses01F_impro01_M011,Ses01F_impro01_F014,ang,ang,neu,2,1,0
Ses01F_impro02_F000,pad,pad,sad,pad,pad,None,None,0
Ses01F_impro02_F001,Ses01F_impro02_F000,pad,sad,sad,pad,1,None,0
Ses01F_impro02_M001,pad,Ses01F_impro02_F001,sad,pad,sad,None,1,0
Ses01F_impro02_F002,Ses01F_impro02_F001,Ses01F_impro02_M001,sad,sad,sad,2,1,0
Ses01F_impro02_F003,Ses01F_impro02_F002,Ses01F_impro02_M001,neu,sad,sad,1,2,1
Ses01F_impro02_F004,Ses01F_impro02_F003,Ses01F_impro02_M001,sad,neu,sad,1,3,1
Ses01F_impro02_F005,Ses01F_impro02_F004,Ses01F_impro02_M001,sad,sad,sad,1,4,0
Ses01F_impro02_F006,Ses01F_impro02_F005,Ses01F_impro02_M001,neu,sad,sad,1,5,1
Ses01F_impro02_M005,Ses01F_impro02_M001,Ses01F_impro02_F006,sad,sad,neu,6,1,0
Ses01F_impro02_F008,Ses01F_impro02_F006,Ses01F_impro02_M005,sad,neu,sad,2,1,1
Ses01F_impro02_F010,Ses01F_impro02_F008,Ses01F_impro02_M005,sad,sad,sad,1,2,0
Ses01F_impro02_M009,Ses01F_impro02_M005,Ses01F_impro02_F010,sad,sad,sad,3,1,0
Ses01F_impro02_F012,Ses01F_impro02_F010,Ses01F_impro02_M009,sad,sad,sad,2,1,0
Ses01F_impro02_M010,Ses01F_impro02_M009,Ses01F_impro02_F012,sad,sad,sad,2,1,0
Ses01F_impro02_F013,Ses01F_impro02_F012,Ses01F_impro02_M010,sad,sad,sad,2,1,0
Ses01F_impro02_M011,Ses01F_impro02_M010,Ses01F_impro02_F013,sad,sad,sad,2,1,0
Ses01F_impro02_F014,Ses01F_impro02_F013,Ses01F_impro02_M011,sad,sad,sad,2,1,0
Ses01F_impro02_M012,Ses01F_impro02_M011,Ses01F_impro02_F014,neu,sad,sad,2,1,1
Ses01F_impro02_F015,Ses01F_impro02_F014,Ses01F_impro02_M012,sad,sad,neu,2,1,0
Ses01F_impro02_M013,Ses01F_impro02_M012,Ses01F_impro02_F015,sad,neu,sad,2,1,1
Ses01F_impro02_F016,Ses01F_impro02_F015,Ses01F_impro02_M013,neu,sad,sad,2,1,1
Ses01F_impro02_M014,Ses01F_impro02_M013,Ses01F_impro02_F016,sad,sad,neu,2,1,0
Ses01F_impro02_F017,Ses01F_impro02_F016,Ses01F_impro02_M014,sad,neu,sad,2,1,1
Ses01F_impro02_M015,Ses01F_impro02_M014,Ses01F_impro02_F017,neu,sad,sad,2,1,1
Ses01F_impro02_F018,Ses01F_impro02_F017,Ses01F_impro02_M015,neu,sad,neu,2,1,1
Ses01F_impro02_F019,Ses01F_impro02_F018,Ses01F_impro02_M015,sad,neu,neu,1,2,1
Ses01F_impro02_F020,Ses01F_impro02_F019,Ses01F_impro02_M015,sad,sad,neu,1,3,0
Ses01F_impro03_M000,pad,pad,neu,pad,pad,None,None,0
Ses01F_impro03_F000,pad,Ses01F_impro03_M000,hap,pad,neu,None,1,0
Ses01F_impro03_M001,Ses01F_impro03_M000,Ses01F_impro03_F000,neu,neu,hap,2,1,0
Ses01F_impro03_F001,Ses01F_impro03_F000,Ses01F_impro03_M001,hap,hap,neu,2,1,0
Ses01F_impro03_F002,Ses01F_impro03_F001,Ses01F_impro03_M001,hap,hap,neu,1,2,0
Ses01F_impro03_M003,Ses01F_impro03_M001,Ses01F_impro03_F002,hap,neu,hap,3,1,1
Ses01F_impro03_F004,Ses01F_impro03_F002,Ses01F_impro03_M003,hap,hap,hap,2,1,0
Ses01F_impro03_F005,Ses01F_impro03_F004,Ses01F_impro03_M003,hap,hap,hap,1,2,0
Ses01F_impro03_F006,Ses01F_impro03_F005,Ses01F_impro03_M003,hap,hap,hap,1,3,0
Ses01F_impro03_M006,Ses01F_impro03_M003,Ses01F_impro03_F006,neu,hap,hap,4,1,1
Ses01F_impro03_M007,Ses01F_impro03_M006,Ses01F_impro03_F006,hap,neu,hap,1,2,1
Ses01F_impro03_F008,Ses01F_impro03_F006,Ses01F_impro03_M007,hap,hap,hap,3,1,0
Ses01F_impro03_M008,Ses01F_impro03_M007,Ses01F_impro03_F008,neu,hap,hap,2,1,1
Ses01F_impro03_F009,Ses01F_impro03_F008,Ses01F_impro03_M008,hap,hap,neu,2,1,0
Ses01F_impro03_M009,Ses01F_impro03_M008,Ses01F_impro03_F009,neu,neu,hap,2,1,0
Ses01F_impro03_F010,Ses01F_impro03_F009,Ses01F_impro03_M009,hap,hap,neu,2,1,0
Ses01F_impro03_M011,Ses01F_impro03_M009,Ses01F_impro03_F010,neu,neu,hap,2,1,0
Ses01F_impro03_F012,Ses01F_impro03_F010,Ses01F_impro03_M011,hap,hap,neu,2,1,0
Ses01F_impro03_F013,Ses01F_impro03_F012,Ses01F_impro03_M011,hap,hap,neu,1,2,0
Ses01F_impro03_M013,Ses01F_impro03_M011,Ses01F_impro03_F013,hap,neu,hap,3,1,1
Ses01F_impro03_M014,Ses01F_impro03_M013,Ses01F_impro03_F013,hap,hap,hap,1,2,0
Ses01F_impro03_F015,Ses01F_impro03_F013,Ses01F_impro03_M014,hap,hap,hap,3,1,0
Ses01F_impro03_M015,Ses01F_impro03_M014,Ses01F_impro03_F015,hap,hap,hap,2,1,0
Ses01F_impro03_F016,Ses01F_impro03_F015,Ses01F_impro03_M015,hap,hap,hap,2,1,0
Ses01F_impro03_M016,Ses01F_impro03_M015,Ses01F_impro03_F016,neu,hap,hap,2,1,1
Ses01F_impro03_F017,Ses01F_impro03_F016,Ses01F_impro03_M016,neu,hap,neu,2,1,1
Ses01F_impro03_F018,Ses01F_impro03_F017,Ses01F_impro03_M016,neu,neu,neu,1,2,0
Ses01F_impro03_F019,Ses01F_impro03_F018,Ses01F_impro03_M016,neu,neu,neu,1,3,0
Ses01F_impro03_M019,Ses01F_impro03_M016,Ses01F_impro03_F019,neu,neu,neu,4,1,0
Ses01F_impro03_F021,Ses01F_impro03_F019,Ses01F_impro03_M019,hap,neu,neu,2,1,1
Ses01F_impro03_M020,Ses01F_impro03_M019,Ses01F_impro03_F021,neu,neu,hap,2,1,0
Ses01F_impro03_F022,Ses01F_impro03_F021,Ses01F_impro03_M020,neu,hap,neu,2,1,1
Ses01F_impro03_M021,Ses01F_impro03_M020,Ses01F_impro03_F022,neu,neu,neu,2,1,0
Ses01F_impro03_F023,Ses01F_impro03_F022,Ses01F_impro03_M021,neu,neu,neu,2,1,0
Ses01F_impro03_F024,Ses01F_impro03_F023,Ses01F_impro03_M021,hap,neu,neu,1,2,1
Ses01F_impro03_M022,Ses01F_impro03_M021,Ses01F_impro03_F024,hap,neu,hap,3,1,1
Ses01F_impro03_M023,Ses01F_impro03_M022,Ses01F_impro03_F024,hap,hap,hap,1,2,0
Ses01F_impro03_F025,Ses01F_impro03_F024,Ses01F_impro03_M023,hap,hap,hap,3,1,0
Ses01F_impro03_F026,Ses01F_impro03_F025,Ses01F_impro03_M023,hap,hap,hap,1,2,0
Ses01F_impro03_M024,Ses01F_impro03_M023,Ses01F_impro03_F026,neu,hap,hap,3,1,1
Ses01F_impro04_M000,pad,pad,neu,pad,pad,None,None,0
Ses01F_impro04_F000,pad,Ses01F_impro04_M000,neu,pad,neu,None,1,0
Ses01F_impro04_M001,Ses01F_impro04_M000,Ses01F_impro04_F000,neu,neu,neu,2,1,0
Ses01F_impro04_F001,Ses01F_impro04_F000,Ses01F_impro04_M001,neu,neu,neu,2,1,0
Ses01F_impro04_M002,Ses01F_impro04_M001,Ses01F_impro04_F001,neu,neu,neu,2,1,0
Ses01F_impro04_M003,Ses01F_impro04_M002,Ses01F_impro04_F001,neu,neu,neu,1,2,0
Ses01F_impro04_M004,Ses01F_impro04_M003,Ses01F_impro04_F001,neu,neu,neu,1,3,0
Ses01F_impro04_M005,Ses01F_impro04_M004,Ses01F_impro04_F001,neu,neu,neu,1,4,0
Ses01F_impro04_M006,Ses01F_impro04_M005,Ses01F_impro04_F001,neu,neu,neu,1,5,0
Ses01F_impro04_F005,Ses01F_impro04_F001,Ses01F_impro04_M006,neu,neu,neu,6,1,0
Ses01F_impro04_F006,Ses01F_impro04_F005,Ses01F_impro04_M006,neu,neu,neu,1,2,0
Ses01F_impro04_M007,Ses01F_impro04_M006,Ses01F_impro04_F006,neu,neu,neu,3,1,0
Ses01F_impro04_M008,Ses01F_impro04_M007,Ses01F_impro04_F006,neu,neu,neu,1,2,0
Ses01F_impro04_M009,Ses01F_impro04_M008,Ses01F_impro04_F006,neu,neu,neu,1,3,0
Ses01F_impro04_F009,Ses01F_impro04_F006,Ses01F_impro04_M009,neu,neu,neu,4,1,0
Ses01F_impro04_M010,Ses01F_impro04_M009,Ses01F_impro04_F009,neu,neu,neu,2,1,0
Ses01F_impro04_M011,Ses01F_impro04_M010,Ses01F_impro04_F009,neu,neu,neu,1,2,0
Ses01F_impro04_M012,Ses01F_impro04_M011,Ses01F_impro04_F009,neu,neu,neu,1,3,0
Ses01F_impro04_M013,Ses01F_impro04_M012,Ses01F_impro04_F009,neu,neu,neu,1,4,0
Ses01F_impro04_F013,Ses01F_impro04_F009,Ses01F_impro04_M013,neu,neu,neu,5,1,0
Ses01F_impro04_M014,Ses01F_impro04_M013,Ses01F_impro04_F013,neu,neu,neu,2,1,0
Ses01F_impro04_F014,Ses01F_impro04_F013,Ses01F_impro04_M014,neu,neu,neu,2,1,0
Ses01F_impro04_M015,Ses01F_impro04_M014,Ses01F_impro04_F014,neu,neu,neu,2,1,0
Ses01F_impro04_M016,Ses01F_impro04_M015,Ses01F_impro04_F014,neu,neu,neu,1,2,0
Ses01F_impro04_M017,Ses01F_impro04_M016,Ses01F_impro04_F014,neu,neu,neu,1,3,0
Ses01F_impro04_M018,Ses01F_impro04_M017,Ses01F_impro04_F014,neu,neu,neu,1,4,0
Ses01F_impro04_M019,Ses01F_impro04_M018,Ses01F_impro04_F014,neu,neu,neu,1,5,0
Ses01F_impro04_M020,Ses01F_impro04_M019,Ses01F_impro04_F014,neu,neu,neu,1,6,0
Ses01F_impro04_M021,Ses01F_impro04_M020,Ses01F_impro04_F014,neu,neu,neu,1,7,0
