center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift
Ses01_angry_01_B_001,pad,pad,Neutral,pad,pad,None,None,0
Ses01_angry_01_A_002,pad,Ses01_angry_01_B_001,Neutral,pad,Neutral,None,1,0
Ses01_angry_01_B_003,Ses01_angry_01_B_001,Ses01_angry_01_A_002,Neutral,Neutral,Neutral,2,1,0
Ses01_angry_01_A_005,Ses01_angry_01_A_002,Ses01_angry_01_B_003,Neutral,Neutral,Neutral,2,1,0
Ses01_angry_01_A_007,Ses01_angry_01_A_005,Ses01_angry_01_B_003,Neutral,Neutral,Neutral,1,2,0
Ses01_angry_01_A_009,Ses01_angry_01_A_007,Ses01_angry_01_B_003,Neutral,Neutral,Neutral,1,3,0
Ses01_angry_01_A_011,Ses01_angry_01_A_009,Ses01_angry_01_B_003,Anger,Neutral,Neutral,1,4,1
Ses01_angry_01_B_012,Ses01_angry_01_B_003,Ses01_angry_01_A_011,Anger,Neutral,Anger,5,1,1
Ses01_angry_01_A_013,Ses01_angry_01_A_011,Ses01_angry_01_B_012,Anger,Anger,Anger,2,1,0
Ses01_angry_01_A_014,Ses01_angry_01_A_013,Ses01_angry_01_B_012,Anger,Anger,Anger,1,2,0
Ses01_angry_01_B_015,Ses01_angry_01_B_012,Ses01_angry_01_A_014,Anger,Anger,Anger,3,1,0
Ses01_angry_01_B_016,Ses01_angry_01_B_015,Ses01_angry_01_A_014,Neutral,Anger,Anger,1,2,1
Ses01_angry_01_B_017,Ses01_angry_01_B_016,Ses01_angry_01_A_014,Neutral,Neutral,Anger,1,3,0
Ses01_angry_01_B_018,Ses01_angry_01_B_017,Ses01_angry_01_A_014,Neutral,Neutral,Anger,1,4,0
Ses01_angry_01_B_019,Ses01_angry_01_B_018,Ses01_angry_01_A_014,Anger,Neutral,Anger,1,5,1
Ses01_angry_01_A_020,Ses01_angry_01_A_014,Ses01_angry_01_B_019,Neutral,Anger,Anger,6,1,1
Ses01_angry_01_A_021,Ses01_angry_01_A_020,Ses01_angry_01_B_019,Anger,Neutral,Anger,1,2,1
Ses01_angry_01_B_022,Ses01_angry_01_B_019,Ses01_angry_01_A_021,Anger,Anger,Anger,3,1,0
Ses01_angry_01_A_023,Ses01_angry_01_A_021,Ses01_angry_01_B_022,Anger,Anger,Anger,2,1,0
Ses01_angry_01_B_024,Ses01_angry_01_B_022,Ses01_angry_01_A_023,Anger,Anger,Anger,2,1,0
Ses01_angry_01_B_025,Ses01_angry_01_B_024,Ses01_angry_01_A_023,Anger,Anger,Anger,1,2,0
Ses01_angry_01_A_026,Ses01_angry_01_A_023,Ses01_angry_01_B_025,Anger,Anger,Anger,3,1,0
Ses01_angry_01_A_027,Ses01_angry_01_A_026,Ses01_angry_01_B_025,Anger,Anger,Anger,1,2,0
Ses01_angry_01_A_028,Ses01_angry_01_A_027,Ses01_angry_01_B_025,Anger,Anger,Anger,1,3,0
Ses01_angry_02_B_001,pad,pad,Happiness,pad,pad,None,None,0
Ses01_angry_02_B_002,Ses01_angry_02_B_001,pad,Happiness,Happiness,pad,1,None,0
Ses01_angry_02_B_003,Ses01_angry_02_B_002,pad,Happiness,Happiness,pad,1,None,0
Ses01_angry_02_B_004,Ses01_angry_02_B_003,pad,Happiness,Happiness,pad,1,None,0
Ses01_angry_02_A_005,pad,Ses01_angry_02_B_004,Neutral,pad,Happiness,None,1,0
Ses01_angry_02_B_006,Ses01_angry_02_B_004,Ses01_angry_02_A_005,Happiness,Happiness,Neutral,2,1,0
Ses01_angry_02_B_007,Ses01_angry_02_B_006,Ses01_angry_02_A_005,Happiness,Happiness,Neutral,1,2,0
Ses01_angry_02_B_008,Ses01_angry_02_B_007,Ses01_angry_02_A_005,Happiness,Happiness,Neutral,1,3,0
Ses01_angry_02_A_009,Ses01_angry_02_A_005,Ses01_angry_02_B_008,Happiness,Neutral,Happiness,4,1,1
Ses01_angry_02_A_010,Ses01_angry_02_A_009,Ses01_angry_02_B_008,Happiness,Happiness,Happiness,1,2,0
Ses01_angry_02_A_011,Ses01_angry_02_A_010,Ses01_angry_02_B_008,Neutral,Happiness,Happiness,1,3,1
Ses01_angry_02_B_012,Ses01_angry_02_B_008,Ses01_angry_02_A_011,Happiness,Happiness,Neutral,4,1,0
Ses01_angry_02_B_013,Ses01_angry_02_B_012,Ses01_angry_02_A_011,Happiness,Happiness,Neutral,1,2,0
Ses01_angry_02_B_014,Ses01_angry_02_B_013,Ses01_angry_02_A_011,Neutral,Happiness,Neutral,1,3,1
Ses01_angry_02_A_015,Ses01_angry_02_A_011,Ses01_angry_02_B_014,Neutral,Neutral,Neutral,4,1,0
Ses01_angry_02_B_016,Ses01_angry_02_B_014,Ses01_angry_02_A_015,Neutral,Neutral,Neutral,2,1,0
Ses01_angry_02_A_017,Ses01_angry_02_A_015,Ses01_angry_02_B_016,Neutral,Neutral,Neutral,2,1,0
Ses01_angry_02_B_018,Ses01_angry_02_B_016,Ses01_angry_02_A_017,Neutral,Neutral,Neutral,2,1,0
Ses01_angry_02_A_019,Ses01_angry_02_A_017,Ses01_angry_02_B_018,Neutral,Neutral,Neutral,2,1,0
