center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,self_time_dur,closest_time_dur,cosine_similarity,kl_divergence,earth_mover_dist
Ses01F_impro01_F000,pad,pad,neu,pad,pad,None,None,0,None,None,None,None,None
Ses01F_impro01_F001,Ses01F_impro01_F000,pad,neu,neu,pad,1,None,0,3.7199,3.7199,-0.08795746952719449,1.4786545549814354,0.8983526676893234
Ses01F_impro01_F002,Ses01F_impro01_F001,pad,neu,neu,pad,1,None,0,4.8772,4.8772,0.8848420097468481,0.22800524872459477,1.117209829390049
Ses01F_impro01_F005,Ses01F_impro01_F002,pad,neu,neu,pad,1,None,0,12.5728,12.5728,0.7697023897223807,1.2199960641235374,1.0745717361569405
Ses01F_impro01_F012,Ses01F_impro01_F005,pad,ang,neu,pad,1,None,1,57.809999999999995,57.809999999999995,0.8509481785286437,0.3503585741380178,1.6925084292888641
Ses01F_impro01_M011,pad,Ses01F_impro01_F012,ang,pad,ang,None,1,0,None,1.8800000000000097,None,None,None
Ses01F_impro01_F014,Ses01F_impro01_F012,Ses01F_impro01_M011,neu,ang,ang,2,1,1,12.620000000000005,10.739999999999995,0.9531407562812202,0.07619412538765344,1.969527579843998
Ses01F_impro01_M013,Ses01F_impro01_M011,Ses01F_impro01_F014,ang,ang,neu,2,1,0,14.689999999999998,3.950000000000003,0.9803042720177841,0.0022696126677472467,1.1471667252480984
Ses01F_impro02_F000,pad,pad,sad,pad,pad,None,None,0,None,None,None,None,None
Ses01F_impro02_F001,Ses01F_impro02_F000,pad,sad,sad,pad,1,None,0,12.581200000000003,12.581200000000003,0.9630196864876243,0.16567416233376556,0.41980529576539993
Ses01F_impro02_M001,pad,Ses01F_impro02_F001,sad,pad,sad,None,1,0,None,1.9100000000000001,None,None,None
Ses01F_impro02_F002,Ses01F_impro02_F001,Ses01F_impro02_M001,sad,sad,sad,2,1,0,6.715899999999998,4.805899999999998,0.8012097243076112,0.18037301414957518,0.8250916451215744
Ses01F_impro02_F003,Ses01F_impro02_F002,Ses01F_impro02_M001,neu,sad,sad,1,2,1,5.741599999999998,5.741599999999998,0.8557895024782449,0.11158068597550466,0.8367529809474945
Ses01F_impro02_F004,Ses01F_impro02_F003,Ses01F_impro02_M001,sad,neu,sad,1,3,1,15.032500000000006,15.032500000000006,0.9890087000349659,0.01895119779111793,0.4503799080848694
Ses01F_impro02_F005,Ses01F_impro02_F004,Ses01F_impro02_M001,sad,sad,sad,1,4,0,11.409999999999997,11.409999999999997,0.9343767219017286,0.19588136272506249,1.25007613748312
Ses01F_impro02_F006,Ses01F_impro02_F005,Ses01F_impro02_M001,neu,sad,sad,1,5,1,5.5049999999999955,5.5049999999999955,0.8446128689728859,0.3573266149597386,1.0643969401717186
Ses01F_impro02_M005,Ses01F_impro02_M001,Ses01F_impro02_F006,sad,sad,neu,6,1,0,47.58,5.085000000000008,0.8646950018377212,0.12107378157833164,0.623439148068428
Ses01F_impro02_F008,Ses01F_impro02_F006,Ses01F_impro02_M005,sad,neu,sad,2,1,1,22.94810000000001,17.863100000000003,0.9837509873790635,0.09480099124266517,0.4205699786543846
Ses01F_impro02_F010,Ses01F_impro02_F008,Ses01F_impro02_M005,sad,sad,sad,1,2,0,10.736899999999991,10.736899999999991,0.9646019162917414,0.18054444987359491,1.6432302817702293
Ses01F_impro02_M009,Ses01F_impro02_M005,Ses01F_impro02_F010,sad,sad,sad,3,1,0,44.83749999999999,16.237499999999997,0.9938870342936283,0.10497445514283811,0.6281895861029625
Ses01F_impro02_F012,Ses01F_impro02_F010,Ses01F_impro02_M009,sad,sad,sad,2,1,0,19.89,3.6525000000000034,0.9398642979338068,0.11061047627726087,1.40573844127357
Ses01F_impro02_M010,Ses01F_impro02_M009,Ses01F_impro02_F012,sad,sad,sad,2,1,0,6.233000000000004,2.5805000000000007,0.9504206687911896,0.015499904433818677,1.0562116503715515
Ses01F_impro02_F013,Ses01F_impro02_F012,Ses01F_impro02_M010,sad,sad,sad,2,1,0,9.989999999999995,7.409499999999994,0.8376387247410937,0.14520096549309003,1.526652855798602
Ses01F_impro02_M011,Ses01F_impro02_M010,Ses01F_impro02_F013,sad,sad,sad,2,1,0,13.469499999999996,6.060000000000002,0.9984257723102319,0.08374182539442264,0.7933997064828873
Ses01F_impro02_F014,Ses01F_impro02_F013,Ses01F_impro02_M011,sad,sad,sad,2,1,0,11.210000000000008,5.150000000000006,0.9708091869879485,0.030152165564398294,0.9731626063585281
Ses01F_impro02_M012,Ses01F_impro02_M011,Ses01F_impro02_F014,neu,sad,sad,2,1,1,13.150000000000006,8.0,0.9993033164797555,0.011531011712982243,0.5046316087245941
Ses01F_impro02_F015,Ses01F_impro02_F014,Ses01F_impro02_M012,sad,sad,neu,2,1,0,12.3921,4.392099999999999,0.9954455487818163,0.024423501647008142,0.7357690334320068
Ses01F_impro02_M013,Ses01F_impro02_M012,Ses01F_impro02_F015,sad,neu,sad,2,1,1,10.949999999999989,6.557899999999989,0.982807854549203,0.04830762154525829,0.4276324436068535
Ses01F_impro02_F016,Ses01F_impro02_F015,Ses01F_impro02_M013,neu,sad,sad,2,1,1,12.117899999999992,5.560000000000002,0.9997116703233477,0.024641056357931505,0.6342285573482513
Ses01F_impro02_M014,Ses01F_impro02_M013,Ses01F_impro02_F016,sad,sad,neu,2,1,0,6.905000000000001,1.3449999999999989,0.9130955911757244,0.17836868688951313,1.315256841480732
Ses01F_impro02_F017,Ses01F_impro02_F016,Ses01F_impro02_M014,sad,neu,sad,2,1,1,5.820000000000022,4.475000000000023,0.8648705678856512,0.10935200670058613,0.6850095242261887
Ses01F_impro02_M015,Ses01F_impro02_M014,Ses01F_impro02_F017,neu,sad,sad,2,1,1,10.585000000000008,6.109999999999985,0.9472620811747602,0.05899084955957836,0.569165326654911
Ses01F_impro02_F018,Ses01F_impro02_F017,Ses01F_impro02_M015,neu,sad,neu,2,1,1,6.719999999999999,0.6100000000000136,0.6911069354717959,0.1299429818121607,0.5677572339773178
Ses01F_impro02_F019,Ses01F_impro02_F018,Ses01F_impro02_M015,sad,neu,neu,1,2,1,6.75,6.75,0.9866947950366366,0.004342832696083401,0.3522948771715164
Ses01F_impro02_F020,Ses01F_impro02_F019,Ses01F_impro02_M015,sad,sad,neu,1,3,0,3.75,3.75,0.9990327094952571,0.005748540894326134,0.5767249464988708
Ses01F_impro03_M000,pad,pad,neu,pad,pad,None,None,0,None,None,None,None,None
Ses01F_impro03_F000,pad,Ses01F_impro03_M000,hap,pad,neu,None,1,0,None,1.6399999999999997,None,None,None
Ses01F_impro03_M001,Ses01F_impro03_M000,Ses01F_impro03_F000,neu,neu,hap,2,1,0,3.3599999999999994,1.7199999999999998,0.9985540825137409,0.030072564252150328,0.46427416801452637
Ses01F_impro03_F001,Ses01F_impro03_F000,Ses01F_impro03_M001,hap,hap,neu,2,1,0,3.05,1.33,0.4947893277883143,1.1898885043780556,1.3090826570987701
Ses01F_impro03_F002,Ses01F_impro03_F001,Ses01F_impro03_M001,hap,hap,neu,1,2,0,4.870000000000001,4.870000000000001,0.8631580124223657,0.4252602990621004,0.9882098436355591
Ses01F_impro03_M003,Ses01F_impro03_M001,Ses01F_impro03_F002,hap,neu,hap,3,1,1,8.33,2.129999999999999,0.14384444042670108,3.230357171600901,2.0002241507172585
Ses01F_impro03_F004,Ses01F_impro03_F002,Ses01F_impro03_M003,hap,hap,hap,2,1,0,8.95,6.82,0.9487137916345605,0.5778780868698755,0.9857974946498871
Ses01F_impro03_F005,Ses01F_impro03_F004,Ses01F_impro03_M003,hap,hap,hap,1,2,0,3.808399999999999,3.808399999999999,0.9845475963150275,0.3509721277182437,1.478160560131073
Ses01F_impro03_F006,Ses01F_impro03_F005,Ses01F_impro03_M003,hap,hap,hap,1,3,0,2.811600000000002,2.811600000000002,0.9955152667339288,0.07334387587697289,0.7203962802886963
Ses01F_impro03_M006,Ses01F_impro03_M003,Ses01F_impro03_F006,neu,hap,hap,4,1,1,19.32,5.879999999999999,-0.28033219636023526,3.4096986677696903,1.9247847273945808
Ses01F_impro03_M007,Ses01F_impro03_M006,Ses01F_impro03_F006,hap,neu,hap,1,2,1,3.467500000000001,3.467500000000001,0.8742542396827724,0.17327873775443303,0.7435672953724861
Ses01F_impro03_F008,Ses01F_impro03_F006,Ses01F_impro03_M007,hap,hap,hap,3,1,0,11.749999999999996,2.4024999999999963,0.9287234738732149,1.294880029631636,0.4403379559516907
Ses01F_impro03_M008,Ses01F_impro03_M007,Ses01F_impro03_F008,neu,hap,hap,2,1,1,4.372500000000002,1.970000000000006,0.9929269331733763,0.05615370965947179,1.1655279994010925
Ses01F_impro03_F009,Ses01F_impro03_F008,Ses01F_impro03_M008,hap,hap,neu,2,1,0,2.720000000000006,0.75,0.9714523689787289,0.004589326247040471,0.5908029675483704
Ses01F_impro03_M009,Ses01F_impro03_M008,Ses01F_impro03_F009,neu,neu,hap,2,1,0,2.069999999999993,1.3199999999999932,0.9941623563635855,0.0041594752790593235,0.5149486064910889
Ses01F_impro03_F010,Ses01F_impro03_F009,Ses01F_impro03_M009,hap,hap,neu,2,1,0,5.029999999999994,3.710000000000001,0.9990048329674233,0.0002145837398424531,0.2376439869403839
Ses01F_impro03_M011,Ses01F_impro03_M009,Ses01F_impro03_F010,neu,neu,hap,2,1,0,8.760000000000005,5.050000000000004,0.9650979472880095,0.36093324936283433,0.9858738780021667
Ses01F_impro03_F012,Ses01F_impro03_F010,Ses01F_impro03_M011,hap,hap,neu,2,1,0,7.9950000000000045,2.9450000000000003,0.9856268290067831,0.03884647693400903,0.8550835847854614
Ses01F_impro03_F013,Ses01F_impro03_F012,Ses01F_impro03_M011,hap,hap,neu,1,2,0,4.864999999999995,4.864999999999995,0.9975154806680426,0.0014765187820731326,0.28223226964473724
Ses01F_impro03_M013,Ses01F_impro03_M011,Ses01F_impro03_F013,hap,neu,hap,3,1,1,12.722499999999997,4.912500000000001,0.9033690069027945,0.0560562835890854,1.318228155374527
Ses01F_impro03_M014,Ses01F_impro03_M013,Ses01F_impro03_F013,hap,hap,hap,1,2,0,7.767499999999998,7.767499999999998,0.9628978794253304,0.022503535142887086,1.029463991522789
Ses01F_impro03_F015,Ses01F_impro03_F013,Ses01F_impro03_M014,hap,hap,hap,3,1,0,13.537500000000001,0.8575000000000017,0.9860239759448278,0.0042688468578096226,0.6702677756547928
