center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,self_time_dur,closest_time_dur,cosine_similarity,kl_divergence,earth_mover_dist
Ses01F_impro01_F000,pad,pad,neu,pad,pad,None,None,0,None,None,None,None,None
Ses01F_impro01_F001,Ses01F_impro01_F000,pad,neu,neu,pad,1,None,0,3.7199,3.7199,-0.7079113,1.0125959,0.2892901971936226
Ses01F_impro01_F002,Ses01F_impro01_F001,pad,neu,neu,pad,1,None,0,4.8772,4.8772,0.18928945,0.40727577,0.6924040615558624
Ses01F_impro01_F005,Ses01F_impro01_F002,pad,neu,neu,pad,1,None,0,12.5728,12.5728,0.31104803,0.24100423,0.7852100357413292
Ses01F_impro01_M011,pad,Ses01F_impro01_F012,ang,pad,ang,None,1,0,None,1.8800000000000097,None,None,None
Ses01F_impro01_M013,Ses01F_impro01_M011,Ses01F_impro01_F014,ang,ang,neu,2,1,0,14.689999999999998,3.950000000000003,0.91858065,0.570291,1.3201447185128927
Ses01F_impro02_F000,pad,pad,sad,pad,pad,None,None,0,None,None,None,None,None
Ses01F_impro02_F001,Ses01F_impro02_F000,pad,sad,sad,pad,1,None,0,12.581200000000003,12.581200000000003,0.97024643,0.053431265,0.327330082654953
Ses01F_impro02_M001,pad,Ses01F_impro02_F001,sad,pad,sad,None,1,0,None,1.9100000000000001,None,None,None
Ses01F_impro02_F002,Ses01F_impro02_F001,Ses01F_impro02_M001,sad,sad,sad,2,1,0,6.715899999999998,4.805899999999998,0.8914324,0.067429185,0.552523747086525
Ses01F_impro02_F005,Ses01F_impro02_F004,Ses01F_impro02_M001,sad,sad,sad,1,4,0,11.409999999999997,11.409999999999997,0.7113602,0.095151715,0.32322709262371063
Ses01F_impro02_M005,Ses01F_impro02_M001,Ses01F_impro02_F006,sad,sad,neu,6,1,0,47.58,5.085000000000008,0.674225,0.48789877,0.7433025687932968
Ses01F_impro02_F010,Ses01F_impro02_F008,Ses01F_impro02_M005,sad,sad,sad,1,2,0,10.736899999999991,10.736899999999991,0.047101248,1.1762695,0.7091802731156349
Ses01F_impro02_M009,Ses01F_impro02_M005,Ses01F_impro02_F010,sad,sad,sad,3,1,0,44.83749999999999,16.237499999999997,0.77764034,0.1352959,0.3560178820043802
Ses01F_impro02_F012,Ses01F_impro02_F010,Ses01F_impro02_M009,sad,sad,sad,2,1,0,19.89,3.6525000000000034,0.8420938,0.14953914,0.7980151176452637
Ses01F_impro02_M010,Ses01F_impro02_M009,Ses01F_impro02_F012,sad,sad,sad,2,1,0,6.233000000000004,2.5805000000000007,0.9094481,0.06267097,0.34463055804371834
Ses01F_impro02_F013,Ses01F_impro02_F012,Ses01F_impro02_M010,sad,sad,sad,2,1,0,9.989999999999995,7.409499999999994,0.42385507,0.34799272,0.5203813388943672
Ses01F_impro02_M011,Ses01F_impro02_M010,Ses01F_impro02_F013,sad,sad,sad,2,1,0,13.469499999999996,6.060000000000002,0.7673064,0.2340977,0.4714186619967222
Ses01F_impro02_F014,Ses01F_impro02_F013,Ses01F_impro02_M011,sad,sad,sad,2,1,0,11.210000000000008,5.150000000000006,0.4335844,0.24851237,0.2626672014594078
Ses01F_impro02_F015,Ses01F_impro02_F014,Ses01F_impro02_M012,sad,sad,neu,2,1,0,12.3921,4.392099999999999,0.6647968,0.17184062,0.4094492346048355
Ses01F_impro02_M014,Ses01F_impro02_M013,Ses01F_impro02_F016,sad,sad,neu,2,1,0,6.905000000000001,1.3449999999999989,0.8915102,0.12349874,0.3774891570210457
Ses01F_impro02_F020,Ses01F_impro02_F019,Ses01F_impro02_M015,sad,sad,neu,1,3,0,3.75,3.75,0.9311921,0.08497401,0.2837865259498358
